Genus[7][8][b],Meaning or derivation,Family[4],Order[4],C,G
Calla,attractive,Araceae,Alismatales,C,G
Calliandra,attractive stamens,Fabaceae,Fabales,,G
Callicarpa,attractive fruit,Lamiaceae,Lamiales,C,G
Callicoma,attractive hair,Cunoniaceae,Oxalidales,,G
Callirhoe,Callirrhoe,Malvaceae,Malvales,C,G
Callisia,beauty,Commelinaceae,Commelinales,C,G
Callistemon,attractive stamens,Myrtaceae,Myrtales,C,G
Callistephus,attractive crown (the flowers),Asteraceae,Asterales,C,G
Callitriche,attractive hair,Plantaginaceae,Lamiales,,G
Callitris,"attractive triples (the leaves, for instance)",Cupressaceae,Pinales,,G
Calluna,tidying or beautifying,Ericaceae,Ericales,C,G
Calocedrus,attractive cedar,Cupressaceae,Pinales,C,G
Calocephalus,attractive head (the flowers),Asteraceae,Asterales,,G
Calochortus,attractive grass,Liliaceae,Liliales,C,G
Calodendrum,attractive tree,Rutaceae,Sapindales,,G
Calophaca,attractive lentil,Fabaceae,Fabales,,G
Calophyllum,beautiful leaves[4],Calophyllaceae,Malpighiales,,G
Calopogon,attractive beard (on the lips),Orchidaceae,Asparagales,,G
Calothamnus,attractive shrub,Myrtaceae,Myrtales,,G
Calotropis,attractive boat,Apocynaceae,Gentianales,,G
Caltha,Latin name,Ranunculaceae,Ranunculales,C,G
Calycanthus,calyx flower (the sepals are like the petals)[4],Calycanthaceae,Laurales,C,G
Calypso,Calypso,Orchidaceae,Asparagales,,G
Calytrix,Hairy calyx. Previously Calythrix.,Myrtaceae,Myrtales,,G
Camassia,Chinookan name,Asparagaceae,Asparagales,C,G
Campanula,Latin: little bell (the flowers)[4],Campanulaceae,Asterales,C,G
Camphorosma,camphor-scented,Amaranthaceae,Caryophyllales,,G
Campsidium,Campsis-like,Bignoniaceae,Lamiales,,G
Campsis,curved (the stamens),Bignoniaceae,Lamiales,C,G
Cananga,Malayan name,Annonaceae,Magnoliales,,G
Canarina,Canary Islands,Campanulaceae,Asterales,,G
Canavalia,Malabar name,Fabaceae,Fabales,,G
Canella,little Canna[4],Canellaceae,Canellales,,G
Canistrum,Latin: basket (the bracts),Bromeliaceae,Poales,,G
Canna,Irish Celtic word for a reed or cane[4],Cannaceae,Zingiberales,C,G
Cannabis,Greek and Latin name[4],Cannabaceae,Rosales,,G
Cantua,Peruvian name,Polemoniaceae,Ericales,C,G
Capparis,Greek name[4],Capparaceae,Brassicales,,G
Capsicum,bite (the spiciness),Solanaceae,Solanales,C,G
Caragana,Mongol name,Fabaceae,Fabales,C,G
Caralluma,"Telugu name, possibly",Apocynaceae,Gentianales,,G
Cardamine,Greek name,Brassicaceae,Brassicales,C,G
Cardiocrinum,heart lily (the leaves),Liliaceae,Liliales,C,G
Cardiospermum,heart seed (white spots on the seeds),Sapindaceae,Sapindales,C,G
Carduncellus,little Carduus,Asteraceae,Asterales,,G
Carduus,Latin name,Asteraceae,Asterales,,G
Carex,Latin name,Cyperaceae,Poales,C,G
Carica,Latin name[4],Caricaceae,Brassicales,,G
Carissa,originally from Sanskrit,Apocynaceae,Gentianales,,G
Carpinus,Latin name,Betulaceae,Fagales,C,G
Carpobrotus,edible fruit,Aizoaceae,Caryophyllales,C,G
Carpodetus,constricted fruit (narrower in the middle),Rousseaceae,Asterales,,G
Carthamus,from Arabic,Asteraceae,Asterales,,G
Carum,Greek name,Apiaceae,Apiales,C,G
Carya,Greek name,Juglandaceae,Fagales,C,G
Caryopteris,nut wing (the wings on the fruit),Lamiaceae,Lamiales,C,G
Caryota,nut,Arecaceae,Arecales,,G
Cassia,Greek name,Fabaceae,Fabales,,G
Cassiope,Cassiopeia,Ericaceae,Ericales,C,G
Castanea,Greek and Latin name,Fagaceae,Fagales,C,G
Castanopsis,Castanea-like,Fagaceae,Fagales,,G
Castano­spermum,Castanea seed,Fabaceae,Fabales,,G
Casuarina,From a Malaysian word for cassowary[4],Casuarinaceae,Fagales,,G
Catalpa,Native American name,Bignoniaceae,Lamiales,C,G
Catananche,Greek name,Asteraceae,Asterales,C,G
Catasetum,bristles pointing down (on the columns),Orchidaceae,Asparagales,,G
Catha,Arabic name,Celastraceae,Celastrales,,G
Caulophyllum,stem-leaf (the single large leaf),Berberidaceae,Ranunculales,,G
Ceanothus,Greek name,Rhamnaceae,Rosales,C,G
Cecropia,Cecrops I,Urticaceae,Rosales,,G
Cedrela,Latin: little cedar,Meliaceae,Sapindales,,G
Cedronella,Latin: little cedar,Lamiaceae,Lamiales,,G
Cedrus,Greek and Latin name,Pinaceae,Pinales,C,G
Ceiba,South American name,Malvaceae,Malvales,,G
Celastrus,Greek name[4],Celastraceae,Celastrales,C,G
Celmisia,"Celmisios, whose mother was the Greek nymph Alciope",Asteraceae,Asterales,,G
Celosia,burning (the hues of the flowers),Amaranthaceae,Caryophyllales,C,G
Celtis,Greek name,Cannabaceae,Rosales,C,G
Centaurea,centaur,Asteraceae,Asterales,C,G
Centaurium,centaur,Gentianaceae,Gentianales,,G
Centradenia,spur gland (on the anthers),Melastomataceae,Myrtales,,G
Centranthus,spur flowers,Caprifoliaceae,Dipsacales,C,G
Centropogon,spur beard (on the stigmas),Campanulaceae,Asterales,,G
Centrosema,spur standard,Fabaceae,Fabales,,G
Cephalanthus,head of flowers,Rubiaceae,Gentianales,,G
Cephalaria,(flower) heads,Caprifoliaceae,Dipsacales,C,G
Cephalocereus,head Cereus,Cactaceae,Caryophyllales,C,G
Cephalo­stachyum,head spike (the flower spikes),Poaceae,Poales,,
Cephalotaxus,head Taxus,Cephalotaxaceae,Pinales,,G
Cerastium,horn (the shape of the capsules),Caryophyllaceae,Caryophyllales,C,G
Ceratonia,Greek name,Fabaceae,Fabales,,G
Ceratopetalum,horned (antler-shaped) petals,Cunoniaceae,Oxalidales,,G
Ceratophyllum,horned (antler-shaped) leaves[4],Ceratophyllaceae,Ceratophyllales,C,G
Ceratostigma,horn stigmas,Plumbaginaceae,Caryophyllales,C,G
Ceratozamia,horn Zamia (the horned scales),Zamiaceae,Cycadales,,G
Cercidiphyllum,with leaves like Cercis siliquastrum[4],Cercidiphyllaceae,Saxifragales,C,G
Cercis,weaver's shuttle (the pods),Fabaceae,Fabales,C,G
Cercocarpus,tail (-shaped) fruit,Rosaceae,Rosales,,G
Cereus,Latin: wax candle (the shape),Cactaceae,Caryophyllales,,G
Cerinthe,wax,Boraginaceae,Boraginales,,G
Ceropegia,wax fountain (the flowers),Apocynaceae,Gentianales,C,G
Ceroxylon,wax (-coated) wood,Arecaceae,Arecales,,G
Cestrum,Greek name,Solanaceae,Solanales,C,G
Chaenomeles,gaping apples,Rosaceae,Rosales,C,G
Chaenorhinum,gaping Antirrhinum (the flowers are more open),Plantaginaceae,Lamiales,C,G
Chaerophyllum,pleasing leaves (the scent),Apiaceae,Apiales,,G
Chamaebatia,Greek name,Rosaceae,Rosales,,G
Chamaecyparis,dwarf cypress,Cupressaceae,Pinales,C,G
Chamaedaphne,dwarf Daphne,Ericaceae,Ericales,C,G
Chamaedorea,ground gift (the easily accessible fruit),Arecaceae,Arecales,C,G
Chamaelirium,dwarf lily,Melanthiaceae,Liliales,C,G
Chamaeran­themum,dwarf Eranthemum,Acanthaceae,Lamiales,,
Chamaerops,dwarf bush,Arecaceae,Arecales,C,G
Chamelaucium,unclear,Myrtaceae,Myrtales,,
Chasmanthe,wide-open flowers,Iridaceae,Asparagales,,G
Chelidonium,swallow,Papaveraceae,Ranunculales,C,G
Chelone,turtle,Plantaginaceae,Lamiales,C,G
Chenopodium,goose foot (the leaves),Amaranthaceae,Caryophyllales,C,G
Chiastophyllum,crosswise leaves,Crassulaceae,Saxifragales,,G
Chiliotrichum,a thousand hairs,Asteraceae,Asterales,,G
Chilopsis,lip-like (the calyx),Bignoniaceae,Lamiales,,G
Chimaphila,winter-loving (evergreen),Ericaceae,Ericales,,G
Chimonanthus,winter-flowering,Calycanthaceae,Laurales,C,G
Chimono­bambusa,winter Bambusa,Poaceae,Poales,C,G
Chiococca,snow berries,Rubiaceae,Gentianales,,G
Chionanthus,snow-white flowers,Oleaceae,Lamiales,C,G
Chionophila,snow-loving (the habitat),Plantaginaceae,Lamiales,,G
Chironia,Chiron,Gentianaceae,Gentianales,,G
Chlidanthus,luxury flowers,Amaryllidaceae,Asparagales,C,G
Chloraea,green (the flowers),Orchidaceae,Asparagales,,G
Chloris,Chloris,Poaceae,Poales,,G
Chlorogalum,green milk (the sap),Asparagaceae,Asparagales,,G
Chlorophytum,green plant,Asparagaceae,Asparagales,C,G
Chorizema,separated filaments (on the stamens),Fabaceae,Fabales,,G
Chrozophora,bearing (turnsole) dye,Euphorbiaceae,Malpighiales,,G
Chrysanthemum,gold flowers,Asteraceae,Asterales,C,G
Chrysobalanus,gold acorns[4],Chryso­balanaceae,Malpighiales,,G
Chrysocoma,gold hair,Asteraceae,Asterales,,G
Chrysogonum,"gold knees (yellow flowers, and the stems have joints)",Asteraceae,Asterales,C,G
Chrysopsis,like gold,Asteraceae,Asterales,,G
Chrysothamnus,gold shrub,Asteraceae,Asterales,,G
Chusquea,Colombian name,Poaceae,Poales,,G
Chysis,melting (the fused pollinia),Orchidaceae,Asparagales,,G
Cicer,Latin name,Fabaceae,Fabales,,G
Cicerbita,Italian name,Asteraceae,Asterales,C,G
Cichorium,Arabic and Greek name,Asteraceae,Asterales,C,G
Cicuta,Latin name,Apiaceae,Apiales,,G
Cineraria,ashen (the leaves),Asteraceae,Asterales,,G
Cinnamomum,Greek name,Lauraceae,Laurales,,G
Cipura,uncertain[d],Iridaceae,Asparagales,,G
Cirrhaea,tendril (the long rostella),Orchidaceae,Asparagales,,G
Cirsium,Greek name,Asteraceae,Asterales,,G
Cissus,Greek name,Vitaceae,Vitales,C,G
Cistus,Greek and Latin name[4],Cistaceae,Malvales,C,G
Citharexylum,lyre wood,Verbenaceae,Lamiales,,G
Citropsis,like Citrus,Rutaceae,Sapindales,,G
Citrullus,from Citrus,Cucurbitaceae,Cucurbitales,C,G
Citrus,Latin name,Rutaceae,Sapindales,C,G
Cladanthus,branch (-end) flowers,Asteraceae,Asterales,,G
Cladium,little branches,Cyperaceae,Poales,,G
Cladrastis,fragile twigs or shoots. Stearn's spelling is Cladastris.,Fabaceae,Fabales,C,G
Cleistocactus,closed cactus (the flowers),Cactaceae,Caryophyllales,,G
Clematis,Greek name,Ranunculaceae,Ranunculales,C,G
Clematoclethra,Clematis and Clethra,Actinidiaceae,Ericales,,G
Cleome,brilliance[4],Cleomaceae,Brassicales,,G
Clerodendrum,chance tree (the medical uses),Lamiaceae,Lamiales,C,G
Clethra,Greek name[4],Clethraceae,Ericales,C,G
Clianthus,brilliant flowers,Fabaceae,Fabales,C,G
Clitoria,Latin: clitoris,Fabaceae,Fabales,,G
Cneorum,Greek name,Rutaceae,Sapindales,,G
Cnicus,Greek name,Asteraceae,Asterales,,G
Coccinia,scarlet (the fruit),Cucurbitaceae,Cucurbitales,,G
Coccoloba,Greek name,Polygonaceae,Caryophyllales,,G
Coccothrinax,berry Thrinax,Arecaceae,Arecales,,
Cocculus,little berry (the fruit),Menispermaceae,Ranunculales,,G
Cochlearia,spoonlike (the lower leaves),Brassicaceae,Brassicales,,G
Cochliostema,Spiral male parts. Stearn's spelling is Cochleostema.,Commelinaceae,Commelinales,,
Cochlo­spermum,spiral seeds,Bixaceae,Malvales,,
Cocos,Portuguese: mask,Arecaceae,Arecales,,G
Codiaeum,Moluccan name,Euphorbiaceae,Malpighiales,C,G
Codonopsis,like a bell (the flowers),Campanulaceae,Asterales,C,G
Coelia,hollow,Orchidaceae,Asparagales,,
Coelogyne,hollow female parts,Orchidaceae,Asparagales,,G
Coffea,Arabic name,Rubiaceae,Gentianales,,G
Coix,Greek name,Poaceae,Poales,C,G
Cola,West African name,Malvaceae,Malvales,,G
Colchicum,Colchis[4],Colchicaceae,Liliales,C,G
Coleonema,sheath thread (the staminodes),Rutaceae,Sapindales,,G
Coleotrype,sheath hole,Commelinaceae,Commelinales,,G
Collomia,"glue (the seeds, which can be sticky)",Polemoniaceae,Ericales,,G
Colocasia,"Greek name, from Arabic",Araceae,Alismatales,C,G
Colutea,Greek name,Fabaceae,Fabales,C,G
Combretum,Latin name[4],Combretaceae,Myrtales,,G
Comesperma,hairy seeds,Polygalaceae,Fabales,,G
Conandron,cone stamens,Gesneriaceae,Lamiales,,
Conicosia,conical,Aizoaceae,Caryophyllales,,
Conium,Greek and Latin name,Apiaceae,Apiales,,G
Conophytum,cone plant,Aizoaceae,Caryophyllales,,G
Consolida,Medieval Latin name,Ranunculaceae,Ranunculales,,G
Convallaria,Latin: valley,Asparagaceae,Asparagales,C,G
Convolvulus,Latin: twining[4],Convolvulaceae,Solanales,C,G
Copaifera,Brazilian name,Fabaceae,Fabales,,G
Copiapoa,"Copiapó, Chile",Cactaceae,Caryophyllales,,G
Coprosma,dung smell (the leaves),Rubiaceae,Gentianales,C,G
Coptis,cutting (divisions of the leaves),Ranunculaceae,Ranunculales,,G
Corchorus,Greek name,Malvaceae,Malvales,,G
Cordyline,club (the roots),Asparagaceae,Asparagales,C,G
Corema,broom-like,Ericaceae,Ericales,,G
Coreopsis,like a bug (the seeds),Asteraceae,Asterales,C,G
Coriandrum,Greek and Latin name,Apiaceae,Apiales,C,G
Coriaria,Latin: leather (for tanning)[4],Coriariaceae,Cucurbitales,C,G
Cornus,Latin name[4],Cornaceae,Cornales,C,G
Corokia,Māori name,Argophyllaceae,Asterales,C,G
Coronilla,little crown (the flowers),Fabaceae,Fabales,C,G
Cortaderia,Argentine name,Poaceae,Poales,C,G
Coryanthes,helmet flowers,Orchidaceae,Asparagales,,G
Corydalis,crested lark (the spurs),Papaveraceae,Ranunculales,C,G
Corylopsis,like Corylus,Hamamelidaceae,Saxifragales,C,G
Corylus,Greek name,Betulaceae,Fagales,C,G
Corynocarpus,club fruit[4],Corynocarpaceae,Cucurbitales,,G
Corypha,summit (the highest fronds),Arecaceae,Arecales,,
Coryphantha,summit flowers,Cactaceae,Caryophyllales,,
Cosmos,ornament,Asteraceae,Asterales,C,G
Costus,Latin name[4],Costaceae,Zingiberales,,G
Cotinus,Greek name,Anacardiaceae,Sapindales,C,G
Cotoneaster,Greek and Latin name,Rosaceae,Rosales,C,G
Cotula,small cup (the leaves and flowerheads),Asteraceae,Asterales,C,G
Cotyledon,cup-shaped depression (the leaves),Crassulaceae,Saxifragales,C,G
Coutarea,Guyanese name,Rubiaceae,Gentianales,,
Crambe,Greek and Latin name,Brassicaceae,Brassicales,C,G
Craspedia,fringe (the pappus),Asteraceae,Asterales,,G
Crassula,Latin: little thick (the leaves)[4],Crassulaceae,Saxifragales,C,G
Crataegus,Greek name,Rosaceae,Rosales,C,G
Cremanthodium,hanging flowerheads,Asteraceae,Asterales,,G
Crepis,Greek and Latin name,Asteraceae,Asterales,C,G
Crinodendron,lily tree (the flowers),Elaeocarpaceae,Oxalidales,C,G
Crinum,Greek name,Amaryllidaceae,Asparagales,C,G
Crithmum,Greek name,Apiaceae,Apiales,,G
Crocosmia,Crocus scent,Iridaceae,Asparagales,C,G
Crocus,"Greek name, from a Semitic name",Iridaceae,Asparagales,C,G
Crossandra,fringed male parts,Acanthaceae,Lamiales,,G
Crotalaria,rattle (the sound of the seed pods),Fabaceae,Fabales,,G
Croton,tick (the seeds),Euphorbiaceae,Malpighiales,,G
Crucianella,little cross (the crosswise leaves),Rubiaceae,Gentianales,,G
Crupina,Belgian or Dutch name,Asteraceae,Asterales,,
Cryptantha,hidden flowers,Bromeliaceae,Poales,,G
Cryptanthus,hidden (lower parts of the) flowers,Bromeliaceae,Poales,,G
Cryptocoryne,hidden club (the spadix),Araceae,Alismatales,,G
Cryptomeria,hidden parts,Cupressaceae,Pinales,C,G
Cryptostegia,hidden cover (scales inside the corolla),Apocynaceae,Gentianales,,G
Cucumis,Latin name,Cucurbitaceae,Cucurbitales,C,G
Cucurbita,Latin name[4],Cucurbitaceae,Cucurbitales,C,G
Cuminum,Greek name,Apiaceae,Apiales,,G
Cunila,Latin name,Lamiaceae,Lamiales,,G
Cuphea,curved (the seed pods),Lythraceae,Myrtales,C,G
Cupressus,Greek and Latin name[4],Cupressaceae,Pinales,C,G
Curculigo,Latin: weevil-like (the ovaries),Hypoxidaceae,Asparagales,,G
Curcuma,Arabic name,Zingiberaceae,Zingiberales,,G
Cuscuta,Medieval Latin name,Convolvulaceae,Solanales,,G
Cyananthus,blue flowers,Campanulaceae,Asterales,C,G
Cyanella,blue,Tecophilaeaceae,Asparagales,,G
Cyanotis,blue ear (the petals),Commelinaceae,Commelinales,,G
Cyathodes,cup-like,Ericaceae,Ericales,,G
Cycas,Greek name[4],Cycadaceae,Cycadales,C,G
Cyclamen,Greek name,Primulaceae,Ericales,C,G
Cyclanthera,circle of anthers,Cucurbitaceae,Cucurbitales,,G
Cyclanthus,circle of flowers[4],Cyclanthaceae,Pandanales,,G
Cyclopia,circle foot (the base of the calyx),Fabaceae,Fabales,,
Cydonia,Greek and Latin name,Rosaceae,Rosales,C,G
Cymbalaria,like a cymbal (the leaves),Plantaginaceae,Lamiales,C,G
Cymbidium,boat-shaped (the lips),Orchidaceae,Asparagales,C,G
Cymbopogon,boat-beard (the spikelets),Poaceae,Poales,,G
Cynanchum,dog-strangling (the poisonous herbs),Apocynaceae,Gentianales,,G
Cynara,Greek and Latin name,Asteraceae,Asterales,C,G
Cynodon,dog tooth (the blades),Poaceae,Poales,,G
Cynoglossum,dog tongue (the leaves),Boraginaceae,Boraginales,C,G
Cypella,chalice (the flowers),Iridaceae,Asparagales,,G
Cyperus,Greek name[4],Cyperaceae,Poales,C,G
Cypripedium,Aphrodite's slipper (the flowers),Orchidaceae,Asparagales,C,G
Cyrtanthus,arched flowers,Amaryllidaceae,Asparagales,C,G
Cyrtopodium,arched foot (the lips),Orchidaceae,Asparagales,,
Cyrtostachys,arched spikes,Arecaceae,Arecales,,
Cytisus,Greek name,Fabaceae,Fabales,C,G
